	RAM	DAPE
0	-0.182940382	
1	-0.178430135	
2	-0.136682277	
3	-0.124069898	
4	-0.162609575	
5	-0.157848636	
6	-0.132402935	
7	-0.165855321	
8	-0.148483951	
9	-0.160621407	
10	-0.172717707	
11	-0.141434056	
12	-0.128260618	
13	-0.152761591	
14	-0.143733127	
15	-0.158206108	
16	-0.153908809	
17	-0.112565172	
18	-0.107649586	
19	-0.138004426	
20	-0.147715174	
21	-0.118881609	
22	-0.12163316	
23	-0.128683778	
24	-0.122924895	
25	-0.108192714	
26	-0.129427797	
27	-0.104944916	
28	-0.14362833	
29	-0.08595678	
30	-0.124593681	
31	-0.115857078	
32	-0.106262817	
33	-0.10924481	
34	-0.097851114	
35	-0.129988778	
36	-0.109473378	
37	-0.103001364	
38	-0.087063631	
39	-0.132865665	
40	-0.112182989	
41	-0.101369069	
42	-0.116412706	
43	-0.140124832	
44	-0.110050364	
45	-0.132172204	
46	-0.129265914	
47	-0.103426318	
48	-0.121820834	
49	-0.132483459	
50	-0.092410648	
51	-0.118859124	
52	-0.115836889	
53	-0.093630172	
54	-0.11177324	
55	-0.126665276	
56	-0.091995431	
57	-0.104905081	
58	-0.091945345	
59	-0.107285544	
60	-0.117532843	
61	-0.10022388	
62	-0.093594849	
63	-0.111469887	
64	-0.119804757	
65	-0.093063981	
66	-0.089260116	
67	-0.115037193	
68	-0.115737696	
69	-0.115627145	
70	-0.118475598	
71	-0.110133282	
72	-0.096199253	
73	-0.1046007	
74	-0.114377934	
75	-0.097557759	
76	-0.119035219	
77	-0.126983169	
78	-0.101767707	
79	-0.099559623	
80	-0.113444727	
81	-0.098459528	
82	-0.10554379	
83	-0.095879031	
84	-0.111795296	
85	-0.108817631	
86	-0.076642264	
87	-0.107842963	
88	-0.10846106	
89	-0.105464116	
90	-0.116893361	
91	-0.098833718	
92	-0.119079717	
93	-0.100734913	
94	-0.08868393	
95	-0.107015785	
96	-0.099870783	
97	-0.099262314	
98	-0.122961339	
99	-0.109514605	
100	-0.113460469	
101	-0.082807683	
102	-0.085309413	
103	-0.111190815	
104	-0.115387396	
105	-0.087655082	
106	-0.108340576	
107	-0.093774022	
108	-0.101583632	
109	-0.091602077	
110	-0.103003177	
111	-0.108892118	
112	-0.091324305	
113	-0.099206463	
114	-0.092768966	
115	-0.117045648	
116	-0.119372612	
117	-0.091253213	
118	-0.093723335	
119	-0.103542642	
120	-0.071859959	
121	-0.083720969	
122	-0.083582868	
123	-0.091352419	
124	-0.098736783	
125	-0.083953049	
126	-0.097527022	
127	-0.107120807	
128	-0.107224572	
129	-0.111667257	
130	-0.097502751	
131	-0.086086348	
132	-0.102356176	
133	-0.095274742	
134	-0.11009188	
135	-0.122170553	
136	-0.092254711	
137	-0.11339507	
138	-0.103589972	
139	-0.08497495	
140	-0.096749265	
141	-0.091770491	
142	-0.103546559	
143	-0.088738078	
144	-0.090493116	
145	-0.058764118	
146	-0.106373298	
147	-0.097331731	
148	-0.080675292	
149	-0.086951717	
150	-0.109606034	
151	-0.100702846	
152	-0.097447114	
153	-0.083660242	
154	-0.101541327	
155	-0.098314393	
156	-0.100906067	
157	-0.084098198	
158	-0.095355434	
159	-0.095116576	
160	-0.078007872	
161	-0.09979736	
162	-0.10691816	
163	-0.075499803	
164	-0.089056315	
165	-0.094901727	
166	-0.102644413	
167	-0.070651076	
168	-0.08052609	
169	-0.081029974	
170	-0.093875199	
171	-0.092170991	
172	-0.090038594	
