	RAM	DAPE
0	0.931398833	0.748458451
1	0.898612545	0.72018241
2	0.889629423	0.752947145
3	0.879719338	0.75564944
4	0.877095688	0.714486113
5	0.871333313	0.713484677
6	0.8712853	0.738882365
7	0.869265566	0.703410244
8	0.865059271	0.71657532
9	0.863925323	0.703303916
10	0.861781511	0.689063804
11	0.860533935	0.719099879
12	0.858339673	0.730079055
13	0.857505779	0.704744188
14	0.857068446	0.713335319
15	0.854348157	0.69614205
16	0.852963072	0.699054263
17	0.85167731	0.739112138
18	0.85113989	0.743490303
19	0.850849263	0.712844838
20	0.849295767	0.701580593
21	0.846256097	0.727374488
22	0.845325097	0.723691937
23	0.844088741	0.715404963
24	0.841708886	0.718783991
25	0.836591627	0.728398913
26	0.835596394	0.706168597
27	0.835028028	0.730083111
28	0.833406604	0.689778275
29	0.833225943	0.747269163
30	0.832333392	0.707739711
31	0.831489768	0.71563269
32	0.828624018	0.722361201
33	0.827192696	0.717947885
34	0.82587116	0.728020046
35	0.825780238	0.695791461
36	0.825613254	0.716139876
37	0.825397484	0.72239612
38	0.825247761	0.738184131
39	0.825163087	0.692297422
40	0.824763461	0.712580472
41	0.823452446	0.722083377
42	0.821692704	0.705279998
43	0.821593254	0.681468423
44	0.821455622	0.711405259
45	0.821195308	0.689023104
46	0.820967959	0.691702045
47	0.820624395	0.717198077
48	0.820332584	0.69851175
49	0.820280847	0.687797388
50	0.820087135	0.727676487
51	0.819125848	0.700266724
52	0.819015652	0.703178763
53	0.818922469	0.725292298
54	0.818604647	0.706831407
55	0.817868052	0.691202776
56	0.817000747	0.725005316
57	0.816731215	0.711826134
58	0.816462261	0.724516916
59	0.816119763	0.708834219
60	0.816065696	0.698532853
61	0.815932036	0.715708156
62	0.815811723	0.722216874
63	0.815543034	0.704073146
64	0.814344936	0.694540179
65	0.814013399	0.720949418
66	0.813965365	0.724705248
67	0.813743345	0.698706152
68	0.811536465	0.695798768
69	0.811420146	0.695793001
70	0.810587762	0.692112163
71	0.81040697	0.700273689
72	0.81036556	0.714166308
73	0.810246903	0.705646203
74	0.809934597	0.695556663
75	0.809092749	0.71153499
76	0.808386281	0.689351063
77	0.80705564	0.680072471
78	0.806813557	0.70504585
79	0.806312114	0.70675249
80	0.806301949	0.692857222
81	0.80600337	0.707543842
82	0.805465257	0.699921467
83	0.80546012	0.709581089
84	0.804877073	0.693081777
85	0.804849929	0.696032298
86	0.80454089	0.727898626
